season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1896,Gold,USA,United States,Thomas BURKE,1896 Athens,Athletics,Men's,100m
Summer,1896,Bronze,USA,United States,Francis LANE,1896 Athens,Athletics,Men's,100m
Summer,1896,Gold,USA,United States,Thomas BURKE,1896 Athens,Athletics,Men's,400m
Summer,1896,Silver,USA,United States,Herbert JAMISON,1896 Athens,Athletics,Men's,400m
Summer,1896,Silver,USA,United States,Arthur BLAKE,1896 Athens,Athletics,Men's,1500m
Summer,1896,Gold,USA,United States,Thomas CURTIS,1896 Athens,Athletics,Men's,110m hurdles
Summer,1896,Gold,USA,United States,Ellery CLARK,1896 Athens,Athletics,Men's,long jump
Summer,1896,Silver,USA,United States,Robert GARRETT,1896 Athens,Athletics,Men's,long jump
Summer,1896,Bronze,USA,United States,James CONNOLLY,1896 Athens,Athletics,Men's,long jump
Summer,1896,Gold,USA,United States,James CONNOLLY,1896 Athens,Athletics,Men's,triple jump
Summer,1896,Gold,USA,United States,Ellery CLARK,1896 Athens,Athletics,Men's,high jump
Summer,1896,Silver,USA,United States,James CONNOLLY,1896 Athens,Athletics,Men's,high jump
Summer,1896,Silver,USA,United States,Robert GARRETT,1896 Athens,Athletics,Men's,high jump
Summer,1896,Gold,USA,United States,William Welles HOYT,1896 Athens,Athletics,Men's,pole vault
Summer,1896,Silver,USA,United States,Albert TYLER,1896 Athens,Athletics,Men's,pole vault
Summer,1896,Gold,USA,United States,Robert GARRETT,1896 Athens,Athletics,Men's,shot put
Summer,1896,Gold,USA,United States,Robert GARRETT,1896 Athens,Athletics,Men's,discus throw
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,60m
Summer,1900,Silver,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,60m
Summer,1900,Gold,USA,United States,Francis JARVIS,1900 Paris,Athletics,Men's,100m
Summer,1900,Silver,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,100m
Summer,1900,Gold,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,200m
Summer,1900,Gold,USA,United States,Maxwell W.Maxey LONG,1900 Paris,Athletics,Men's,400m
Summer,1900,Silver,USA,United States,William HOLLAND,1900 Paris,Athletics,Men's,400m
Summer,1900,Silver,USA,United States,John CREGAN,1900 Paris,Athletics,Men's,800m
Summer,1900,Bronze,USA,United States,David HALL,1900 Paris,Athletics,Men's,800m
Summer,1900,Bronze,USA,United States,John BRAY,1900 Paris,Athletics,Men's,1500m
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,110m hurdles
Summer,1900,Silver,USA,United States,John MCLEAN,1900 Paris,Athletics,Men's,110m hurdles
Summer,1900,Bronze,USA,United States,Frederick MOLONEY,1900 Paris,Athletics,Men's,110m hurdles
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,200m hurdles
Summer,1900,Bronze,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,200m hurdles
Summer,1900,Gold,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,400m hurdles
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,long jump
Summer,1900,Silver,USA,United States,Meyer PRINSTEIN,1900 Paris,Athletics,Men's,long jump
Summer,1900,Gold,USA,United States,Ray EWRY,1900 Paris,Athletics,Men's,long jump
Summer,1900,Silver,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,long jump
Summer,1900,Gold,USA,United States,Meyer PRINSTEIN,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Silver,USA,United States,James CONNOLLY,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Bronze,USA,United States,Lewis Pendleton SHELDON,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Gold,USA,United States,Ray EWRY,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Silver,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Bronze,USA,United States,Robert GARRETT,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Gold,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,high jump
Summer,1900,Gold,USA,United States,Ray EWRY,1900 Paris,Athletics,Men's,high jump
Summer,1900,Silver,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,high jump
Summer,1900,Bronze,USA,United States,Lewis Pendleton SHELDON,1900 Paris,Athletics,Men's,high jump
Summer,1900,Gold,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,pole vault
Summer,1900,Silver,USA,United States,Meredith Bright COLKETT,1900 Paris,Athletics,Men's,pole vault
Summer,1900,Gold,USA,United States,Richard SHELDON,1900 Paris,Athletics,Men's,shot put
Summer,1900,Silver,USA,United States,Josiah MCCRACKEN,1900 Paris,Athletics,Men's,shot put
Summer,1900,Bronze,USA,United States,Robert GARRETT,1900 Paris,Athletics,Men's,shot put
Summer,1900,Bronze,USA,United States,Richard SHELDON,1900 Paris,Athletics,Men's,discus throw
Summer,1900,Gold,USA,United States,John Jesus FLANAGAN,1900 Paris,Athletics,Men's,hammer throw
Summer,1900,Silver,USA,United States,Thomas Truxton HARE,1900 Paris,Athletics,Men's,hammer throw
Summer,1900,Bronze,USA,United States,Josiah MCCRACKEN,1900 Paris,Athletics,Men's,hammer throw
Summer,1904,Gold,USA,United States,Archie HAHN,1904 St Louis,Athletics,Men's,60m
Summer,1904,Silver,USA,United States,William HOGENSON,1904 St Louis,Athletics,Men's,60m
Summer,1904,Bronze,USA,United States,Fay MOULTON,1904 St Louis,Athletics,Men's,60m
Summer,1904,Gold,USA,United States,Archie HAHN,1904 St Louis,Athletics,Men's,100m
Summer,1904,Silver,USA,United States,John Nathaniel CARTMELL,1904 St Louis,Athletics,Men's,100m
Summer,1904,Bronze,USA,United States,William HOGENSON,1904 St Louis,Athletics,Men's,100m
Summer,1904,Gold,USA,United States,Archie HAHN,1904 St Louis,Athletics,Men's,200m
Summer,1904,Silver,USA,United States,John Nathaniel CARTMELL,1904 St Louis,Athletics,Men's,200m
Summer,1904,Bronze,USA,United States,William HOGENSON,1904 St Louis,Athletics,Men's,200m
Summer,1904,Gold,USA,United States,Harry HILLMAN,1904 St Louis,Athletics,Men's,400m
Summer,1904,Silver,USA,United States,Frank WALLER,1904 St Louis,Athletics,Men's,400m
Summer,1904,Bronze,USA,United States,Herman GROMAN,1904 St Louis,Athletics,Men's,400m
Summer,1904,Gold,USA,United States,James LIGHTBODY,1904 St Louis,Athletics,Men's,800m
Summer,1904,Silver,USA,United States,Howard VALENTINE,1904 St Louis,Athletics,Men's,800m
Summer,1904,Bronze,USA,United States,Emil BREITKREUTZ,1904 St Louis,Athletics,Men's,800m
Summer,1904,Gold,USA,United States,James LIGHTBODY,1904 St Louis,Athletics,Men's,1500m
Summer,1904,Silver,USA,United States,William Frank VERNER,1904 St Louis,Athletics,Men's,1500m
Summer,1904,Bronze,USA,United States,Lacey HEARN,1904 St Louis,Athletics,Men's,1500m
Summer,1904,Gold,USA,United States,Thomas HICKS,1904 St Louis,Athletics,Men's,marathon
Summer,1904,Bronze,USA,United States,Arthur NEWTON,1904 St Louis,Athletics,Men's,marathon
Summer,1904,Gold,USA,United States,Frederick SCHULE,1904 St Louis,Athletics,Men's,110m hurdles
Summer,1904,Silver,USA,United States,Thaddeus SHIDELER,1904 St Louis,Athletics,Men's,110m hurdles
Summer,1904,Bronze,USA,United States,Lesley ASHBURNER,1904 St Louis,Athletics,Men's,110m hurdles
Summer,1904,Gold,USA,United States,Harry HILLMAN,1904 St Louis,Athletics,Men's,200m hurdles
Summer,1904,Silver,USA,United States,Frank CASTLEMAN,1904 St Louis,Athletics,Men's,200m hurdles
Summer,1904,Bronze,USA,United States,George POAGE,1904 St Louis,Athletics,Men's,200m hurdles
Summer,1904,Gold,USA,United States,Harry HILLMAN,1904 St Louis,Athletics,Men's,400m hurdles
Summer,1904,Silver,USA,United States,Frank WALLER,1904 St Louis,Athletics,Men's,400m hurdles
Summer,1904,Bronze,USA,United States,George POAGE,1904 St Louis,Athletics,Men's,400m hurdles
Summer,1904,Gold,USA,United States,James LIGHTBODY,1904 St Louis,Athletics,Men's,2590m steeplechase
Summer,1904,Bronze,USA,United States,Arthur NEWTON,1904 St Louis,Athletics,Men's,2590m steeplechase
Summer,1904,Gold,USA,United States,"Arthur NEWTON, Paul Harry PILGRIM, David Curtis MUNSON, George UNDERWOOD, Howard VALENTINE",1904 St Louis,Athletics,Men's,4miles team
Summer,1904,Silver,USA,United States,"William Frank VERNER (USA), Sidney HATCH (USA), James LIGHTBODY (USA), Lacey HEARN (USA), Albert CORAY (FRA)",1904 St Louis,Athletics,Men's,4miles team
Summer,1904,Gold,USA,United States,Meyer PRINSTEIN,1904 St Louis,Athletics,Men's,long jump
Summer,1904,Silver,USA,United States,Daniel FRANK,1904 St Louis,Athletics,Men's,long jump
Summer,1904,Bronze,USA,United States,Robert STANGLAND,1904 St Louis,Athletics,Men's,long jump
Summer,1904,Gold,USA,United States,Ray EWRY,1904 St Louis,Athletics,Men's,long jump
Summer,1904,Silver,USA,United States,Charles KING,1904 St Louis,Athletics,Men's,long jump
Summer,1904,Bronze,USA,United States,John BILLER,1904 St Louis,Athletics,Men's,long jump
Summer,1904,Gold,USA,United States,Meyer PRINSTEIN,1904 St Louis,Athletics,Men's,triple jump
Summer,1904,Silver,USA,United States,Frederick ENGLEHARDT,1904 St Louis,Athletics,Men's,triple jump
Summer,1904,Bronze,USA,United States,Robert STANGLAND,1904 St Louis,Athletics,Men's,triple jump
Summer,1904,Gold,USA,United States,Ray EWRY,1904 St Louis,Athletics,Men's,triple jump
Summer,1904,Silver,USA,United States,Charles KING,1904 St Louis,Athletics,Men's,triple jump
Summer,1904,Bronze,USA,United States,Joseph F. STADLER,1904 St Louis,Athletics,Men's,triple jump
Summer,1904,Gold,USA,United States,Samuel JONES,1904 St Louis,Athletics,Men's,high jump
Summer,1904,Silver,USA,United States,Garrett SERVISS,1904 St Louis,Athletics,Men's,high jump
Summer,1904,Gold,USA,United States,Ray EWRY,1904 St Louis,Athletics,Men's,high jump
Summer,1904,Silver,USA,United States,Joseph F. STADLER,1904 St Louis,Athletics,Men's,high jump
Summer,1904,Bronze,USA,United States,Lawson N. ROBERTSON,1904 St Louis,Athletics,Men's,high jump
Summer,1904,Gold,USA,United States,Charles DVORAK,1904 St Louis,Athletics,Men's,pole vault
Summer,1904,Silver,USA,United States,Leroy SAMSE,1904 St Louis,Athletics,Men's,pole vault
Summer,1904,Bronze,USA,United States,Louis WILKINS,1904 St Louis,Athletics,Men's,pole vault
Summer,1904,Gold,USA,United States,Martin SHERIDAN,1904 St Louis,Athletics,Men's,discus throw
Summer,1904,Silver,USA,United States,Ralph ROSE,1904 St Louis,Athletics,Men's,discus throw
Summer,1904,Gold,USA,United States,John Jesus FLANAGAN,1904 St Louis,Athletics,Men's,hammer throw
Summer,1904,Silver,USA,United States,John DEWITT,1904 St Louis,Athletics,Men's,hammer throw
Summer,1904,Bronze,USA,United States,Ralph ROSE,1904 St Louis,Athletics,Men's,hammer throw
Summer,1904,Gold,USA,United States,Ralph ROSE,1904 St Louis,Athletics,Men's,shot put
Summer,1904,Silver,USA,United States,William Wesley COE,1904 St Louis,Athletics,Men's,shot put
Summer,1904,Bronze,USA,United States,Lawrence E. Joseph FEUERBACH,1904 St Louis,Athletics,Men's,shot put
Summer,1904,Silver,USA,United States,John Jesus FLANAGAN,1904 St Louis,Athletics,Men's,56lb weight throw (25.4kg)
Summer,1904,Bronze,USA,United States,James MITCHELL,1904 St Louis,Athletics,Men's,56lb weight throw (25.4kg)
Summer,1904,Gold,USA,United States,Max EMMERICH,1904 St Louis,Athletics,Men's,triathlon (long jump / shot put / 100 yards)
Summer,1904,Silver,USA,United States,John GRIEB,1904 St Louis,Athletics,Men's,triathlon (long jump / shot put / 100 yards)
Summer,1904,Bronze,USA,United States,William MERZ,1904 St Louis,Athletics,Men's,triathlon (long jump / shot put / 100 yards)
Summer,1904,Silver,USA,United States,Adam GUNN,1904 St Louis,Athletics,Men's,decathlon
Summer,1904,Bronze,USA,United States,Thomas Truxton HARE,1904 St Louis,Athletics,Men's,decathlon
Summer,1908,Silver,USA,United States,James RECTOR,1908 London,Athletics,Men's,100m
Summer,1908,Silver,USA,United States,Robert CLOUGHEN,1908 London,Athletics,Men's,200m
Summer,1908,Bronze,USA,United States,John Nathaniel CARTMELL,1908 London,Athletics,Men's,200m
Summer,1908,Gold,USA,United States,Melvin SHEPPARD,1908 London,Athletics,Men's,800m
Summer,1908,Gold,USA,United States,Melvin SHEPPARD,1908 London,Athletics,Men's,1500m
Summer,1908,Gold,USA,United States,John Joseph HAYES,1908 London,Athletics,Men's,marathon
Summer,1908,Bronze,USA,United States,Joseph FORSHAW,1908 London,Athletics,Men's,marathon
Summer,1908,Gold,USA,United States,"William Frank HAMILTON, John Baxter TAYLOR, John Nathaniel CARTMELL, Melvin SHEPPARD",1908 London,Athletics,Men's,200m+200m+400m+800m medley relay
